ma_cua_hang,ten_cua_hang,dia_chi,dien_thoai,hotline,email,gio_mo_cua,website,lat,lng,tinh_thanh,loai_cua_hang,featured_image_url
KH434,Cửa hàng Bluera Việt Nhật Tài Phát,"Tổ 2, ấp Bắc 3, Xã Hoà Long, Thành phố Bà Rịa, Bà Rịa - Vũng Tàu",0765203821,0969098950,,,,10.968042018186635,106.9514186045143,Bà Rịa - Vũng Tàu,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH435,Cửa hàng Bluera Việt Nhật Vinh Anh,"168 Hùng Vương, Thị Trấn Ngãi Giao, Châu Đức, Bà Rịa - Vũng Tàu",0985654467,0969775068,,,,10.50659780156589,107.1788908875036,Bà Rịa - Vũng Tàu,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH465,Cửa hàng Bluera Việt Nhật Bích Thảo,"Km 56, buôn tơng sinh, Eadar, Eakar, Daklak",0889945888,,,,,12.813815920554289,108.4578242063274,Đắk Lắk,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH466,Cửa hàng Bluera Việt Nhật Anh Mạnh,Km 17 quốc lộ 14 buôn cuôr - Đăng A - xã cuôr Đăng - huyện Cư M’gar -tỉnh Đaklak,0979700555,,,,,12.750150779719359,108.16585049339051,Đắk Lắk,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH506,Cửa hàng Bluera Việt Nhật Hoàng Phát,"Đường Huỳnh Văn Nghệ, tổ 12, ấp An Chu, Xã Bình Minh, Đồng Nai",0945906355,0858667355,,,,10.968042018186635,106.9514186045143,Đồng Nai,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH507,Cửa hàng Bluera Việt Nhật Phước Bình,Tổ 1 ấp 6 xã phước bình huyện long thành tỉnh đồng nai,0964799836,,,,,10.680319539091167,107.09493284130647,Đồng Nai,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH508,Cửa hàng Bluera Việt Nhật Tiến Phát,"Ngã ba chợ Thanh Hóa, Tổ 22, KP 4A, phường Trảng Dài, Biên Hòa, Đồng Nai",0975127927,,,,,10.995958800868182,106.8644158528591,Đồng Nai,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH583,Đại lý Bluera Việt Nhật Thanh Tùng,"Tổ 1, Ấp Lộc Hòa, xã Lộc Thuận, Tỉnh Vĩnh Long",0979441109,,,,,10.187586223221732,105.93188733949715,Vĩnh Long,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH585,Cửa hàng Bluera Việt Nhật Trung Tín Phát,"Thôn 4, Xã Nam Ban Lâm Hà, Tỉnh Lâm Đồng (Địa chỉ mới)",0388824925,0349454914,,,,10.968042018186635,106.9514186045143,Lâm Đồng,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH586,Cửa hàng Bluera Việt Nhật Lộc Phúc,"Chợ Thái Thiện, Ấp Bình Xuân 1, Xã Xuân Phú, Đồng Nai",0919234520,,,,,10.821217109814926,105.5203917243531,Đồng Nai,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH587,Đại lý Bluera Việt Nhật Hồng Hương,"Ấp Tân Thuận A, Xã Kim Sơn, Tỉnh Đồng Tháp (mới)",02733853298,0772669181,,,,,,Đồng Tháp,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH603,Đại lý Bluera Việt Nhật Shoprow Ron Bike Pro,"Khu dân cư cao tốc Cây Dương, Ấp Mỹ Hòa, Xã Hiệp Hưng, Thành Phố Cần Thơ (mới) 	                                                               SỐ 10 ĐƯỜNG Hùng Vương, TT.Cây Dương, H.Phụng Hiệp, T.Hậu Giang (địa chỉ cũ)",0939489688,0939157282,,,,9.776978328405972,105.73926327829709,Hậu Giang,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH605,Cửa hàng Bluera Việt Nhật Ánh Dương,"306 KP2, Đường Bình Giã, Phường Tân Thành, TP. HCM",0868351068,,,,,10.646535543957024,107.13965354483719,Hồ Chí Minh,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH609,Đại lý Bluera Việt Nhật Lộc Phát,"Đường Trương Vĩnh Trọng, Ấp Tân Phước, Xã Hưng Nhượng, Tỉnh Vĩnh Long",0353235939,0983454522,,,,10.110597483504298,106.51669852616216,Vĩnh Long,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH620,Đại lý Bluera Việt Nhật Quốc Bảo,"1/2 Đường ĐT 743, Khu Phố Bình Phước B, Phường An Phú, TP. Thuận An, Tỉnh Bình Dương",0866490895,,,,,,,,Bình Dương,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH621,Đại lý Bluera Việt Nhật Út Tân,"Thửa đất số 70, Tờ bản đồ 32, Ấp Thành Bắc, Xã Đông Thành, Tỉnh Tây Ninh",0857676978,,,,,10.897599401112492,106.31146708282688,Tây Ninh,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
